Trial,Bandit,Reward,Algorithm
1,1,0,BayesianUCB
2,2,0.2,BayesianUCB
3,2,0,BayesianUCB
4,2,0,BayesianUCB
5,3,0,BayesianUCB
6,4,0.4,BayesianUCB
7,4,0.4,BayesianUCB
8,4,0.4,BayesianUCB
9,4,0.4,BayesianUCB
10,4,0,BayesianUCB
11,4,0,BayesianUCB
12,4,0,BayesianUCB
13,4,0,BayesianUCB
14,4,0,BayesianUCB
15,2,0.2,BayesianUCB
16,2,0.2,BayesianUCB
17,2,0,BayesianUCB
18,2,0.2,BayesianUCB
19,2,0,BayesianUCB
20,2,0,BayesianUCB
21,1,0,BayesianUCB
22,3,0,BayesianUCB
23,2,0,BayesianUCB
24,4,0,BayesianUCB
25,2,0,BayesianUCB
26,4,0,BayesianUCB
27,1,0,BayesianUCB
28,3,0,BayesianUCB
29,2,0.2,BayesianUCB
30,2,0.2,BayesianUCB
31,2,0,BayesianUCB
32,2,0.2,BayesianUCB
33,2,0,BayesianUCB
34,2,0.2,BayesianUCB
35,2,0,BayesianUCB
36,2,0,BayesianUCB
37,4,0,BayesianUCB
38,2,0,BayesianUCB
39,2,0,BayesianUCB
40,4,0,BayesianUCB
41,1,0,BayesianUCB
42,3,0,BayesianUCB
43,2,0,BayesianUCB
44,4,0,BayesianUCB
45,2,0,BayesianUCB
46,2,0,BayesianUCB
47,4,0.4,BayesianUCB
48,4,0.4,BayesianUCB
49,4,0,BayesianUCB
50,4,0.4,BayesianUCB
51,4,0,BayesianUCB
52,4,0.4,BayesianUCB
53,4,0.4,BayesianUCB
54,4,0.4,BayesianUCB
55,4,0,BayesianUCB
56,4,0,BayesianUCB
57,4,0.4,BayesianUCB
58,4,0,BayesianUCB
59,4,0,BayesianUCB
60,4,0,BayesianUCB
61,4,0,BayesianUCB
62,4,0,BayesianUCB
63,1,0,BayesianUCB
64,3,0.3,BayesianUCB
65,3,0.3,BayesianUCB
66,3,0,BayesianUCB
67,3,0.3,BayesianUCB
68,3,0,BayesianUCB
69,3,0.3,BayesianUCB
70,3,0,BayesianUCB
71,3,0,BayesianUCB
72,3,0,BayesianUCB
73,3,0,BayesianUCB
74,3,0,BayesianUCB
75,4,0.4,BayesianUCB
76,4,0,BayesianUCB
77,4,0,BayesianUCB
78,2,0,BayesianUCB
79,4,0,BayesianUCB
80,3,0,BayesianUCB
81,4,0.4,BayesianUCB
82,4,0,BayesianUCB
83,4,0,BayesianUCB
84,2,0.2,BayesianUCB
85,2,0,BayesianUCB
86,2,0,BayesianUCB
87,1,0,BayesianUCB
88,4,0.4,BayesianUCB
89,4,0.4,BayesianUCB
90,4,0,BayesianUCB
91,4,0,BayesianUCB
92,4,0.4,BayesianUCB
93,4,0,BayesianUCB
94,4,0.4,BayesianUCB
