Trial,Bandit,Reward,Algorithm
1,1,0,ThompsonSampling
2,3,0,ThompsonSampling
3,4,0,ThompsonSampling
4,1,0,ThompsonSampling
5,4,0,ThompsonSampling
6,1,0,ThompsonSampling
7,2,0,ThompsonSampling
8,1,0,ThompsonSampling
9,2,0,ThompsonSampling
10,2,0,ThompsonSampling
11,4,0,ThompsonSampling
12,2,0,ThompsonSampling
13,3,0,ThompsonSampling
14,4,0,ThompsonSampling
15,3,0,ThompsonSampling
16,1,0,ThompsonSampling
17,1,0,ThompsonSampling
18,3,0,ThompsonSampling
19,2,0.2,ThompsonSampling
20,2,0,ThompsonSampling
21,4,0.4,ThompsonSampling
22,3,0,ThompsonSampling
23,2,0,ThompsonSampling
24,4,0,ThompsonSampling
25,4,0.4,ThompsonSampling
26,4,0,ThompsonSampling
27,4,0,ThompsonSampling
28,2,0,ThompsonSampling
29,4,0.4,ThompsonSampling
30,4,0,ThompsonSampling
31,3,0,ThompsonSampling
32,1,0,ThompsonSampling
33,4,0.4,ThompsonSampling
34,4,0.4,ThompsonSampling
35,4,0,ThompsonSampling
36,2,0,ThompsonSampling
37,4,0.4,ThompsonSampling
38,4,0,ThompsonSampling
39,4,0,ThompsonSampling
40,4,0,ThompsonSampling
41,4,0.4,ThompsonSampling
42,4,0,ThompsonSampling
43,4,0.4,ThompsonSampling
44,4,0,ThompsonSampling
45,4,0,ThompsonSampling
46,3,0.3,ThompsonSampling
47,2,0,ThompsonSampling
48,4,0.4,ThompsonSampling
49,4,0.4,ThompsonSampling
50,4,0,ThompsonSampling
51,4,0,ThompsonSampling
52,3,0,ThompsonSampling
53,4,0.4,ThompsonSampling
54,4,0.4,ThompsonSampling
55,4,0,ThompsonSampling
56,4,0,ThompsonSampling
57,4,0,ThompsonSampling
58,4,0,ThompsonSampling
59,3,0,ThompsonSampling
60,3,0,ThompsonSampling
61,4,0,ThompsonSampling
62,4,0,ThompsonSampling
63,4,0.4,ThompsonSampling
64,4,0,ThompsonSampling
65,2,0,ThompsonSampling
66,4,0,ThompsonSampling
67,4,0,ThompsonSampling
68,4,0.4,ThompsonSampling
69,4,0.4,ThompsonSampling
70,4,0,ThompsonSampling
71,2,0,ThompsonSampling
72,4,0,ThompsonSampling
73,4,0,ThompsonSampling
74,4,0,ThompsonSampling
75,4,0,ThompsonSampling
76,2,0,ThompsonSampling
77,4,0.4,ThompsonSampling
78,4,0.4,ThompsonSampling
79,4,0,ThompsonSampling
80,4,0.4,ThompsonSampling
81,3,0.3,ThompsonSampling
82,4,0,ThompsonSampling
83,4,0.4,ThompsonSampling
84,4,0.4,ThompsonSampling
85,4,0.4,ThompsonSampling
86,4,0,ThompsonSampling
87,4,0.4,ThompsonSampling
88,3,0.3,ThompsonSampling
89,4,0,ThompsonSampling
90,4,0.4,ThompsonSampling
91,4,0.4,ThompsonSampling
92,3,0,ThompsonSampling
93,4,0,ThompsonSampling
94,4,0,ThompsonSampling
95,4,0,ThompsonSampling
96,4,0,ThompsonSampling
97,4,0,ThompsonSampling
98,4,0,ThompsonSampling
